acid,PRR30T
PI273483D,1
PI398774,1
PI398790,1
PI407861C,1
PI408017,1
PI424450,1
PI417229,1
PI424342B,1
PI408210,1
PI408319A,1
PI393537,1
PI407781A,1
PI398295,1
PI424234B,1
PI398440,1
PI398694,1
PI424479,1
PI424487B,1
PI398946,1
PI424238,1
PI424499C,1
PI424549B,1
PI424430,1
PI424499A,1
PI398249,1
PI408225A,1
PI398697,1
PI404159,1
PI398680,1
PI398944,1
PI407806A,1
PI398565,1
PI398959,1
PI398298,1
PI407934,1
PI407772B,1
PI407781B,1
PI408169A,1
PI424135,1
PI424529,1
PI424559,1
PI424615,1
PI398664,1
PI424237A,1
PI424247B,1
PI398940,1
PI424348C,1
PI407778A,1
PI378682C,1
PI417137,1
PI399008,1
PI399080,1
PI423837A,1
PI424354,1
PI424406A,1
PI424409,1
PI424414,1
PI424477,1
PI398371,1
PI398674,1
PI398880,1
PI399015,1
PI399017,1
PI399079,1
PI424320,1
PI399004,1
PI423858,1
PI424355,1
PI424413,1
PI398764,1
PI398775,1
PI398791,1
PI398996,1
PI399036,1
PI399073,1
PI423741,1
PI424247A,1
PI424249C,1
PI398306,1
PI408015,1
PI408020C,1
PI408029,1
PI408124C,1
PI408125A,1
PI408132,1
PI408196B,1
PI408224B,1
PI408260B,1
PI408319B,1
PI408319C,1
PI423850,1
PI407812,1
PI407823,1
PI407847,1
PI407960B,1
PI408124A,1
PI408137A,1
PI408211B,1
PI408287,1
PI399022,1
PI407985,1
PI424169A,1
PI424509,1
PI424531,1
PI424555B,1
PI424159A,1
PI424533,1
PI424549A,1
PI398540,1
PI424525,1
PI423885,1
PI274456,1
PI423910,1
PI398773,1
PI393538,1
PI393540,1
PI416840,1
PI423871,1
PI398643,1
PI398693,1
PI398223,1
PI398666,1
PI407900,1
PI408062,1
PI408288,1
PI408111,1
PI407974B,1
PI408097,1
PI398275,1
PI398276,1
PI424358,1
PI417412,1
PI378682B,5
PI360845,5
PI340035,5
PI340046,5
PI361103,5
PI342004,5
PI291327,5
PI398495,5
PI398299,5
PI424569B,5
PI408074B,5
PI408004-1,5
PI274421,5
PI399077,5
PI407959A,5
PI407869A,5
PI408020A,5
PI408108,5
PI424171B,5
PI399006,5
PI378682A,5
PI408068B,5
PI408140B,5
PI408079A,5
PI408272B,5
PI398741,5
PI417424,5
PI407988B,5
PI423747A,5
PI417173,5
PI424495,5
PI407795B,5
PI399001,5
PI424278B,5
PI399018,5
PI407959B,5
PI408272C,5
PI407773B,5
PI407848,5
PI398970,5
PI417367,5
PI408016A,5
PI407770,5
PI424522,5
PI423789,5
PI424498,5
PI407818B,5
PI407906,5
PI407913A,5
PI408124D,5
PI408169B,5
PI408289,5
PI407772A,5
PI407877B,5
PI407960A,5
PI408138C,5
PI408211A,5
PI408224A,5
PI408280,5
PI408292,5
PI407877A,5
PI408255A,5
PI408076B,5
PI408222C,5
PI424154B,5
PI424171A,5
PI398805,5
PI407913B,5
PI424527,5
PI423974,5
PI423987B,5
PI399019,5
PI423893,5
PI416868B,5
PI416892,5
PI416997,5
PI417022,5
PI417480,5
PI407924,5
PI407975A,5
PI407977,5
PI398975,5
PI407773A,5
PI404183,5
PI408201B,5
PI398706,5
PI416976,5
PI407917,5
PI416904B,5
PI424544,5
PI404186,5
PI408057,5
PI424154A,5
PI416862,5
PI408199,5
PI424444A,5
PI424264,5
PI423890B,5
PI424604,5
PI408173,5
PI407981A,5
PI424608A,5
PI423826B,5
PI424214C,5
PI424429,5
PI407914A,5
PI408019B,5
PI408048B,5
PI424612,5
PI423983,5
PI379560,5
PI416773,5
PI416857,5
PI417003,5
PI398242,5
PI398243,5
PI398272,5
PI360957,5
PI417228,5
PI416845,5
PI416776,5
PI416978,5
PI417565,5
PI417226,5
PI417458,5
PI424504A,5
PI398804,5
PI407873,5
PI407933,5
PI407895,5
PI408298B,5
