acid,SCN1FI.494409,
PI070457,39,8
PI081761,51,8
PI087606,48,8
PI261466,71,8
PI261467,75,8
PI417150,52,8
PI423952,54,8
PI438205,41,8
PI438437,49,8
PI464917,33,8
PI468904,64,8
PI468906,62,8
PI468907,70,8
PI468908,94,8
PI468909,69,8
PI468910,67,8
PI468911,89,8
PI468912,74,8
PI468913,56,8
PI468919,59,8
PI483459,48,8
PI507268,30,8
PI522186,64,8
PI522187,49,8
PI522189,57,8
PI522190,65,8
PI522191,69,8
PI525492,145,8
PI532472,41,8
PI538406,35,8
PI538408,34,8
PI567165,67,8
PI567675,60,8
PI567677,49,8
PI567678,68,8
PI567681,53,8
PI567685,46,8
PI567686,63,8
PI567687,63,8
PI567689,66,8
PI567690,50,8
PI567691,53,8
PI567692,58,8
PI567693,44,8
PI567694,67,8
PI567695,58,8
PI567697,49,8
PI567699,51,8
PI567700,72,8
PI567701,75,8
PI567703,40,8
PI567704,50,8
PI567705,44,8
PI567707,148,8
PI567708,116,8
PI567709,175,8
PI567710,144,8
PI567712,131,8
PI567714,84,8
PI567715,78,8
PI567718,117,8
PI567719,127,8
PI567721,141,8
PI567722,111,8
PI567723,67,8
PI567724,97,8
PI567725,163,8
PI567726,60,8
PI567728,74,8
PI567729,72,8
PI567730,77,8
PI567731,137,8
PI567732,106,8
PI567733,125,8
PI567734,56,8
PI567735,48,8
PI567737,61,8
PI567740,110,8
PI567741,5,8
PI567743,65,8
PI567745,57,8
PI567746,59,8
PI567750,60,8
PI567752,94,8
PI567754,64,8
PI567756,82,8
PI567760,129,8
PI567761,50,8
PI567768,75,8
PI567769,73,8
PI567772,50,8
PI567773,73,8
PI567776,128,8
PI567778,168,8
PI567781,115,8
PI587981,123,8
PI605835,145,8
PI605866,99,8
PI605872,148,8
PI605873,43,8
PI606420,4,8
PI606435,4,8
PI612610,2,8
PI612611,1,8
PI612614,7,8
PI612615,7,8
PI612616,3,8
PI103419B,56,9
PI123577B,42,9
PI157487B,36,9
PI159923B,44,9
PI339865A,50,9
PI407386D,42,9
PI506590E,51,9
PI506838A,55,9
PI506838B,59,9
PI507686B,64,9
PI507686C,56,9
PI507704A,69,9
PI507704B,56,9
PI512322A,53,9
PI512322D,24,9
PI522188A,49,9
PI522188B,46,9
PI522192A,79,9
PI522192B,68,9
PI538401A,61,9
PI538401B,59,9
PI567488A,25,9
PI567488B,23,9
PI567488C,32,9
PI567650C,58,9
PI567676A,26,9
PI567676B,49,9
PI567679A,36,9
PI567679B,29,9
PI567679C,48,9
PI567683A,75,9
PI567684A,51,9
PI567684B,65,9
PI567688A,47,9
PI567688B,73,9
PI567696A,55,9
PI567696B,63,9
PI567696C,45,9
PI567698A,62,9
PI567698B,50,9
PI567702A,62,9
PI567702B,48,9
PI567706A,40,9
PI567706B,87,9
PI567711A,158,9
PI567711B,137,9
PI567713A,176,9
PI567713B,148,9
PI567713C,146,9
PI567713D,93,9
PI567713E,145,9
PI567716A,111,9
PI567716B,118,9
PI567717A,108,9
PI567717B,122,9
PI567717C,139,9
PI567720A,123,9
PI567720B,123,9
PI567727A,82,9
PI567727B,86,9
PI567738A,107,9
PI567738B,97,9
PI567739A,42,9
PI567739B,51,9
PI567742A,89,9
PI567744A,88,9
PI567744B,75,9
PI567749A,47,9
PI567749B,72,9
PI567751A,84,9
PI567751B,99,9
PI567753A,34,9
PI567753B,98,9
PI567753C,92,9
PI567755A,69,9
PI567755B,108,9
PI567762A,44,9
PI567762C,57,9
PI567765A,86,9
PI567765B,87,9
PI567765C,87,9
PI567765D,76,9
PI567767A,61,9
PI567767B,54,9
PI567767C,52,9
PI567770A,55,9
PI567770C,61,9
PI567771A,59,9
PI567771B,90,9
PI567771C,65,9
PI567771D,73,9
PI567771E,46,9
PI567774A,47,9
PI567774B,61,9
PI567775A,162,9
PI567775B,160,9
PI567779A,141,9
PI567779B,169,9
PI567780B,157,9
PI594647A,123,9
PI605780A,115,9
PI605780C,69,9
PI605792D,134,9
PI605799A,127,9
PI605817A,159,9
PI605821A,79,9
PI605821B,120,9
PI605824B,131,9
PI605825A,126,9
PI605825B,106,9
PI605825C,135,9
PI605826A,122,9
PI605826B,88,9
PI605826C,95,9
PI605826D,96,9
PI605827A,178,9
PI605828B,164,9
PI605830A,120,9
PI605831C,163,9
PI605832B,102,9
PI605834A,117,9
PI605834C,109,9
PI605837A,127,9
PI605837B,131,9
PI605837C,108,9
PI605839A,118,9
PI605840B,115,9
PI605840C,81,9
PI605840D,73,9
PI605840E,96,9
PI605840F,111,9
PI605840G,139,9
PI605841A,117,9
PI605842A,84,9
PI605842C,218,9
PI605844D,108,9
PI605844E,60,9
PI605844F,53,9
PI605846C,52,9
PI605846E,67,9
PI605846F,98,9
PI605871A,86,9
PI605876D,64,9
PI605876E,86,9
PI605877D,88,9
PI605882B,91,9
PI605884B,134,9
PI605884C,141,9
PI605884D,118,9
PI605885C,128,9
PI605886B,123,9
PI605886C,124,9
PI605890A,49,9
PI605896B,128,9
PI606382A,89,9
PI606390A,110,9
PI606438A,15,9
PI612612A,5,9
PI612612B,19,9
PI612617A,8,9
PI407946-2,46,10
