acid,crds,
FC004007B,2.8,9
PI060272,1.6,8
PI061944,3.4,8
PI061947,2.4,8
PI062202,3.1,8
PI063945,2.4,8
PI068508,3.1,8
PI068522,2.9,8
PI068600,3.6,8
PI068658,2.4,8
PI071461,3.6,8
PI072232,2.2,8
PI080461,3.4,8
PI080471,3.6,8
PI081027,2.6,8
PI083940,3.1,8
PI084578,2.7,8
PI084579,3,8
PI084581,2.8,8
PI086050,3.2,8
PI086425,2.9,8
PI086445,3.5,8
PI086449,3.9,8
PI087540,3.6,8
PI087574,3.8,8
PI087614,3.8,8
PI087615,3.5,8
PI087617,2.9,8
PI087618,3,8
PI087619,2.8,8
PI088295,3.2,8
PI088306,3.3,8
PI088310,4.1,8
PI088815,3.6,8
PI088823,2.2,8
PI090392,3.3,8
PI090463,2.1,8
PI090486,2,8
PI090499,2.5,8
PI091091,3.4,8
PI091340,3.8,8
PI091341,3.9,8
PI091343,2.9,8
PI091346,2.7,8
PI091349,2.3,8
PI189896,3.9,8
PI189930,3,8
PI200453,2.7,8
PI200457,3.3,8
PI200458,2.9,8
PI200471,3.2,8
PI200473,2.6,8
PI221717,1.4,8
PI227333,3.1,8
PI227557,2.7,8
PI261474,5,8
PI283331,3.5,8
PI297515,2.8,8
PI297544,4.2,8
PI358314,4.2,8
PI360847,3,8
PI361064,3.2,8
PI370059,2.8,8
PI384471,2.5,8
PI384474,2.4,8
PI391583,3.1,8
PI391594,2.6,8
PI393535,3.4,8
PI393537,3.1,8
PI393538,3.2,8
PI398395,2.9,8
PI398416,3.3,8
PI398451,2.4,8
PI398494,3.6,8
PI398831,2.6,8
PI398832,2.9,8
PI398833,3.3,8
PI398841,4,8
PI398859,3,8
PI398976,3.4,8
PI398980,3.6,8
PI398989,5,8
PI398992,3.1,8
PI398993,4,8
PI399044,2.8,8
PI399045,3,8
PI399068,4.3,8
PI404157,3.3,8
PI407710,3.9,8
PI407720,3.2,8
PI407730,2.8,8
PI407849,3.2,8
PI407850,3.9,8
PI407851,3.2,8
PI407933,3,8
PI408005,3.9,8
PI408250,2.8,8
PI408337,3.1,8
PI408339,3.2,8
PI416753,3.9,8
PI416763,3.5,8
PI416789,2.9,8
PI416793,3,8
PI416817,2.7,8
PI416832,3.4,8
PI416833,3.9,8
PI416852,3.6,8
PI416870,3.7,8
PI416889,3.4,8
PI416898,3.8,8
PI416918,3.5,8
PI416943,3,8
PI417017,2.3,8
PI417032,3,8
PI417077,2.6,8
PI417186,3.7,8
PI417323,2.5,8
PI417328,3.2,8
PI417507,2.6,8
PI423838,3.8,8
PI423893,3.2,8
PI423912,2.8,8
PI423923,1.7,8
PI424319,3.7,8
PI424376,3.6,8
PI424382,4.1,8
PI424540,3.2,8
PI424541,3.3,8
PI424550,3.2,8
PI436682,4.2,8
PI437578,4.2,8
PI437726,2.6,8
PI438151,3.3,8
PI438205,3.3,8
PI438206,4.2,8
PI445830,3.2,8
PI445837,4,8
PI445845,3.2,8
PI458511,3.4,8
PI464901,2.9,8
PI467317,3.5,8
PI471931,3.1,8
PI471938,2.5,8
PI475784,3.4,8
PI475785,1.9,8
PI475818,2.7,8
PI490765,2.7,8
PI490766,3.4,8
PI490767,2.1,8
PI490768,2.6,8
PI490769,2.8,8
PI491548,3.4,8
PI494851,2.2,8
PI495831,3.5,8
PI503338,2.2,8
PI506572,3.5,8
PI506675,1.7,8
PI506764,1.6,8
PI506820,3.1,8
PI507295,3.1,8
PI507543,2.8,8
PI507705,3,8
PI508294,2.8,8
PI509098,2.5,8
PI511866,3.1,8
PI511867,3.1,8
PI518711,2.9,8
PI518716,2.1,8
PI518719,3,8
PI518750,2.8,8
PI532457,3,8
PI532464,2.2,8
PI532465,3.7,8
PI538375,2.5,8
PI538376,2.3,8
PI538377,3.5,8
PI538378,2.9,8
PI538380,2.2,8
PI538381,2.5,8
PI538382,2.8,8
PI538383,2.9,8
PI538387,3.2,8
PI547798,3.2,8
PI547841,3.8,8
PI547842,3.5,8
PI547862,3.6,8
PI547890,3.8,8
PI548327,3.4,8
PI548645,3.1,8
PI549031,2.5,8
PI561336,2.7,8
PI561370,3.2,8
PI561371,2.9,8
PI561372,2,8
PI561373,1.4,8
PI561377,2.8,8
PI561395,3.5,8
PI567243,3,8
PI567244,3.9,8
PI567249,2.2,8
PI567251,3.1,8
PI567252,2.4,8
PI567259,3.2,8
PI567263,3,8
PI567284,4.2,8
PI567285,3.5,8
PI567286,3.4,8
PI567287,3.3,8
PI567291,2.9,8
PI567293,2.6,8
PI567294,2.6,8
PI567297,3.2,8
PI567298,3.2,8
PI567302,2.3,8
PI567304,2.7,8
PI567305,2.5,8
PI567307,2,8
PI567308,2.2,8
PI567309,1.6,8
PI567312,1.5,8
PI567313,3.8,8
PI567317,3.4,8
PI567318,2,8
PI567320,2.9,8
PI567324,2.4,8
PI567327,2.8,8
PI567328,2.4,8
PI567330,3.3,8
PI567331,2.2,8
PI567334,1.5,8
PI567337,3.4,8
PI567338,2.4,8
PI567339,1.4,8
PI567340,2.3,8
PI567342,2.4,8
PI567343,1.4,8
PI567346,2.4,8
PI567347,3.1,8
PI567348,2.9,8
PI567353,3.1,8
PI567354,1.8,8
PI567357,3.7,8
PI567359,4.3,8
PI567360,3.9,8
PI567361,3.7,8
PI567364,3.6,8
PI567365,3.2,8
PI567385,2.3,8
PI567416,3.4,8
PI567420,3,8
PI567421,2.9,8
PI567422,2.9,8
PI567423,2.7,8
PI567426,3.1,8
PI567427,3.6,8
PI567428,3.2,8
PI567430,2.4,8
PI567431,2.8,8
PI567434,4.3,8
PI567436,3.1,8
PI567437,4.4,8
PI567438,3.9,8
PI567439,2.6,8
PI567440,3.3,8
PI567442,2.7,8
PI567443,3.3,8
PI567444,4.1,8
PI567446,2.5,8
PI567448,2.7,8
PI567449,3.9,8
PI567450,2.7,8
PI567452,2.8,8
PI567453,2.5,8
PI567454,3.3,8
PI567455,2.7,8
PI567456,2.7,8
PI567457,2.7,8
PI567458,2.8,8
PI567459,3.2,8
PI567460,3,8
PI567461,3.5,8
PI567462,2.3,8
PI567463,2.9,8
PI567464,2.9,8
PI567465,2.2,8
PI567467,2.6,8
PI567468,2.8,8
PI567470,2.8,8
PI567471,2.5,8
PI567472,3.5,8
PI567474,3.2,8
PI567475,3.4,8
PI567476,2.9,8
PI567477,3.4,8
PI567478,2.4,8
PI567479,3.3,8
PI567481,2.7,8
PI567484,3.4,8
PI567485,3.4,8
PI567487,4.1,8
PI567490,2.8,8
PI567492,2.8,8
PI567493,3.5,8
PI567494,3.9,8
PI567496,3.1,8
PI567497,3.3,8
PI567498,2.2,8
PI567499,2.3,8
PI567500,2.9,8
PI567501,3.1,8
PI567503,3.7,8
PI567504,2.8,8
PI567505,2.3,8
PI567506,2.4,8
PI567511,3.2,8
PI567513,3.5,8
PI567686,3.1,8
PI567690,4.1,8
PI567695,2.5,8
PI567697,2.8,8
PI567699,3,8
PI567700,1.8,8
PI567705,2.9,8
PI567712,3.4,8
PI567729,2.8,8
PI567731,2.9,8
PI567732,2.7,8
PI567761,3,8
PI567776,4.1,8
PI567778,3.5,8
PI574477,3.4,8
PI574482,2.7,8
PI574483,3.7,8
PI574484,3.1,8
PI574485,3.2,8
PI574486,4,8
PI578400,2.8,8
PI578500,2.2,8
PI587637,3,8
PI591505,3.2,8
PI591506,3.4,8
PI591507,3.3,8
PI591509,2.9,8
PI591510,3.5,8
PI591512,3.4,8
PI591518,3.8,8
PI592916,4.5,8
PI592919,3.1,8
PI592921,2.4,8
PI592922,2.6,8
PI592923,3.3,8
PI592924,3.3,8
PI592935,3.7,8
PI592936,3.1,8
PI592938,4.1,8
PI592942,3.5,8
PI592944,2.7,8
PI592947,3.2,8
PI592971,3.8,8
PI592979,3.4,8
PI592980,3.9,8
PI593959,2.9,8
PI593960,3,8
PI593972,3,8
PI594208,2.3,8
PI594282,3.1,8
PI594302,1.6,8
PI594394,2.2,8
PI594402,2.3,8
PI594404,3.7,8
PI594405,2.9,8
PI594407,3.4,8
PI597482,3.2,8
PI599509,3.5,8
PI603434,4.1,8
PI603442,1.6,8
PI603549,3.7,8
PI603550,2,8
PI603552,3.1,8
PI603553,3.4,8
PI603556,2.1,8
PI603558,1.6,8
PI603560,1.8,8
PI603582,3.1,8
PI603592,2.9,8
PI603596,3,8
PI603597,1.9,8
PI603655,3.3,8
PI603670,3.7,8
PI603674,2.8,8
PI603675,2.3,8
PI603682,3.3,8
PI612712,2.5,8
PI612715,3.5,8
PI612717,2.7,8
PI612729,3,8
PI612735,4.2,8
PI612736,3.8,8
PI612738,2,8
PI612740,2.9,8
PI614153,2.8,8
PI642055,2.4,8
PI253665D,3.4,9
PI290116A,2.7,9
PI290126B,3.7,9
PI361066A,3.1,9
PI384469A,1.6,9
PI407861A,3.9,9
PI407974A,3.6,9
PI407974B,3.3,9
PI408105A,3.1,9
PI416868A,2.2,9
PI416868B,2.7,9
PI424159B,3.5,9
PI424195B,3.5,9
PI424488A,3,9
PI437614A,2.9,9
PI437851A,3.5,9
PI437909B,2.9,9
PI438302B,2.1,9
PI475783A,2.6,9
PI475783B,2.9,9
PI475812B,3.5,9
PI475822B,3.3,9
PI475822C,3,9
PI495017A,3.4,9
PI532462A,3.6,9
PI532462B,3.4,9
PI532463A,4.5,9
PI532463B,3.3,9
PI538385A,2.6,9
PI538385B,1.7,9
PI538386A,2.7,9
PI538386B,2.4,9
PI549030A,3.5,9
PI561302A,3.6,9
PI561319A,2.5,9
PI567250B,1.7,9
PI567261C,2.6,9
PI567261E,3.1,9
PI567262C,2.4,9
PI567264D,2.5,9
PI567266C,2.8,9
PI567266D,2,9
PI567267B,2.4,9
PI567288A,2.6,9
PI567288B,3.1,9
PI567289A,2.3,9
PI567289B,2.7,9
PI567290A,1.9,9
PI567290B,2.3,9
PI567296A,2.9,9
PI567296B,3,9
PI567299A,2.2,9
PI567299B,2.4,9
PI567300B,2.8,9
PI567301A,2.3,9
PI567301B,2.1,9
PI567303A,1.9,9
PI567303B,1.1,9
PI567306A,2.6,9
PI567306B,2.3,9
PI567310A,1.6,9
PI567310B,2.6,9
PI567311A,3.1,9
PI567311B,3.4,9
PI567316A,3.2,9
PI567316B,2,9
PI567319A,3.6,9
PI567319B,2.8,9
PI567321A,4.2,9
PI567321B,2,9
PI567323A,3.4,9
PI567323B,2.9,9
PI567325A,2.9,9
PI567333A,2.8,9
PI567333B,2.9,9
PI567335A,3.6,9
PI567335B,1,9
PI567336A,2.6,9
PI567336B,2.1,9
PI567349A,1.2,9
PI567349B,2.1,9
PI567351A,3.1,9
PI567351B,2.6,9
PI567352A,4.2,9
PI567352B,3.8,9
PI567355A,2.3,9
PI567355B,2.4,9
PI567362A,2,9
PI567362B,2.5,9
PI567363A,3.2,9
PI567363B,3.1,9
PI567366A,2.8,9
PI567369A,3.1,9
PI567372A,4.4,9
PI567372B,2.6,9
PI567415A,2.4,9
PI567415B,3.4,9
PI567417A,1.9,9
PI567418A,3.5,9
PI567419A,3.2,9
PI567419B,3.3,9
PI567424A,2.3,9
PI567424B,3.7,9
PI567425A,2.1,9
PI567425B,3.3,9
PI567429A,1.4,9
PI567429B,2.2,9
PI567432A,3.5,9
PI567432B,2.5,9
PI567432C,2.2,9
PI567433A,2.9,9
PI567433B,3.7,9
PI567435A,3,9
PI567435B,3.7,9
PI567441A,3.5,9
PI567441B,3.4,9
PI567445A,2.9,9
PI567445B,2.5,9
PI567447A,3,9
PI567447B,2.4,9
PI567447C,2.7,9
PI567466A,3.1,9
PI567466B,3.2,9
PI567469A,3.4,9
PI567469B,3.6,9
PI567473A,2.8,9
PI567473B,2.8,9
PI567480A,3.3,9
PI567482A,2.2,9
PI567482B,3.3,9
PI567486A,4.1,9
PI567486B,3.1,9
PI567488A,3.2,9
PI567488B,3.5,9
PI567488C,3.6,9
PI567489A,2.6,9
PI567489B,2.6,9
PI567491A,2.3,9
PI567491B,3,9
PI567507A,2.4,9
PI567507B,2,9
PI567510A,3.3,9
PI567510B,3.6,9
PI567512A,1.8,9
PI567512B,3.4,9
PI567562A,1,9
PI567688A,3.9,9
PI567696A,3,9
PI567706A,3.5,9
PI567706B,2.7,9
PI567713A,3.2,9
PI567717A,3,9
PI567720A,2.5,9
PI567753B,2.9,9
PI567765A,2.8,9
PI567770A,3.5,9
PI567771B,2.9,9
PI567774A,3.3,9
PI567774B,3.1,9
PI567775A,2.8,9
PI574476A,3,9
PI574476B,3,9
PI574480B,3,9
PI578494B,3.5,9
PI588050A,3.1,9
PI594304B,3,9
PI594401A,2.6,9
PI594401B,3,9
PI594401C,2.9,9
PI594401D,3.1,9
PI594409B,3.2,9
PI597397B,3.1,9
PI597403A,1.5,9
PI060296-2,3,10
PI603421B,3.1,9
PI603423A,3,9
PI603423B,3.1,9
PI603427C,3.2,9
PI603428C,4.8,9
PI603428D,2.8,9
PI603438E,3.6,9
PI603502A,3.1,9
PI603562B,3.3,9
PI603567A,4.1,9
PI603571A,3.7,9
PI603576A,3.4,9
PI603585A,3.3,9
PI603585B,3.3,9
PI603598A,2.5,9
PI603673A,2.9,9
PI603694A,3.2,9
PI603705A,2.8,9
PI603753B,2.5,9
PI603755C,2.7,9
PI603755D,2.7,9
PI603911B,3.5,9
PI603913A,2.6,9
PI603915D,1.3,9
PI612708C,3.9,9
PI080466-1,2.6,10
PI080847-1,3.2,10
PI081030-1,2.5,10
PI081031-1,3.2,10
PI086449-0,3.2,10
PI090566-1,2,10
PI091730-1,2.8,10
PI092718-2,3.9,10
